# Neki komentar
(1,1) (3,1) (4,4) (2,4) # Paralelogram
(0,1) (1,1) (1,0) (0,0) # Kvadrat
(-2,1) (3,0) (2,5) (-3,6) # Robm
(0,0) (6,0) (6,3) (0,3) # Pravokutnik
(3,2) (8,2) (7,5) (4,5)# Trapez
(4,3) (9,2) (9,5) (4,4)# Trapez
(4,6) (6,4) (4,0) (2,4)# Deltoid
(12,8) (4,6) (4,0) (4.95245,1.03928) # Konkavni Jednostani
(6,8) (8,2) (8,6) (2,6) # Konkavni Slozeni
(5,4) (2,4) (3,0) (7,3) # Konveksni Slozeni
(5,1) (0,0) (5,-1) (10,0) # Romb
(4,4) (2,2) (5,0) (10,0) # Trapez
(4,4) (2,2) (5,0) (7,2) # Paralelogram
(2,4) (2,1) (7,1) (7,4) # Pravokutnik
(2,6) (2,1) (5,1) (5,6) # Pravokutnik
(4,5) (4,2) (7,2) (8,6) # Deltoid
(4,5) (4,2) (7,2) (8.00002,6) # Konveksni Jednostavan
(4,5) (4,2) (7,2) (5.5,3.5) # Neispravan cetverokut
(4,5) (4,2) (7,2) (5.43484,3.45954) # Konkavni Jednostavan
(2,2) (2,1) (3,2) (3,1) # Konkavni Slozeni (Krivo trapez)
(2.01215,2.02276) (2.01215,2.02275) (2.01216,2.02275) (2.01216,2.02276) # Kvadrat
(2.01215,2.02276) (2.01215,2.02275) (2.01218,2.02275) (2.01218,2.02276) # Pravokutnik
(2.01216,2.02276) (2.01215,2.02275) (2.01218,2.02275) (2.01217,2.02276) # Trapez
(2.0118,2.0232) (2.0116,2.023) (2.01185,2.023) (2.01205,2.0232) # Paralelogram
# Kraj datoteke
